timestamp,product_id,product_name,category,price,currency,amount
2025-11-28T09:00:00Z,PROD003,Mechanical Keyboard,Electronics,98.45,USD,9
2025-11-28T09:00:42Z,PROD010,USB Hub 4-Port,Accessories,2473.0,JPY,3
2025-11-28T09:01:06Z,PROD009,Ballpoint Pen Set,Stationery,1153.0,JPY,5
2025-11-28T09:01:48Z,PROD001,Wireless Mouse,Electronics,4123.0,JPY,2
2025-11-28T09:02:31Z,PROD005,Webcam HD,Electronics,9884.0,JPY,10
2025-11-28T09:03:15Z,PROD003,Mechanical Keyboard,Electronics,89.5,EUR,5
2025-11-28T09:03:43Z,PROD004,Laptop Stand,Office,5758.0,JPY,3
2025-11-28T09:04:14Z,PROD010,USB Hub 4-Port,Accessories,16.49,USD,3
2025-11-28T09:05:02Z,PROD006,Gaming Headset,Electronics,13035.0,JPY,6
2025-11-28T09:06:28Z,PROD004,Laptop Stand,Office,29.66,GBP,1
2025-11-28T09:07:29Z,PROD004,Laptop Stand,Office,29.66,GBP,6
2025-11-28T09:08:37Z,PROD001,Wireless Mouse,Electronics,21.24,GBP,8
2025-11-28T09:09:05Z,PROD002,USB-C Cable,Accessories,1648.0,JPY,4
2025-11-28T09:09:48Z,PROD001,Wireless Mouse,Electronics,24.99,EUR,2
2025-11-28T09:11:04Z,PROD007,Desk Lamp,Office,3298.0,JPY,6
2025-11-28T09:12:00Z,PROD002,USB-C Cable,Accessories,1648.0,JPY,9
2025-11-28T09:12:59Z,PROD005,Webcam HD,Electronics,9884.0,JPY,10
2025-11-28T09:13:26Z,PROD004,Laptop Stand,Office,5758.0,JPY,3
2025-11-28T09:14:16Z,PROD009,Ballpoint Pen Set,Stationery,7.69,USD,5
2025-11-28T09:14:48Z,PROD008,Notebook A5,Stationery,4.95,USD,5
2025-11-28T09:15:04Z,PROD007,Desk Lamp,Office,3298.0,JPY,2
2025-11-28T09:15:39Z,PROD002,USB-C Cable,Accessories,10.99,USD,10
2025-11-28T09:16:44Z,PROD006,Gaming Headset,Electronics,13035.0,JPY,9
2025-11-28T09:17:55Z,PROD005,Webcam HD,Electronics,59.9,EUR,7
2025-11-28T09:19:16Z,PROD009,Ballpoint Pen Set,Stationery,5.94,GBP,5
2025-11-28T09:20:27Z,PROD009,Ballpoint Pen Set,Stationery,6.99,EUR,8
2025-11-28T09:21:18Z,PROD004,Laptop Stand,Office,5758.0,JPY,2
2025-11-28T09:22:34Z,PROD004,Laptop Stand,Office,34.9,EUR,5
2025-11-28T09:23:42Z,PROD009,Ballpoint Pen Set,Stationery,7.69,USD,2
2025-11-28T09:24:08Z,PROD004,Laptop Stand,Office,38.39,USD,6
2025-11-28T09:25:27Z,PROD003,Mechanical Keyboard,Electronics,89.5,EUR,3
2025-11-28T09:26:42Z,PROD005,Webcam HD,Electronics,50.91,GBP,1
2025-11-28T09:27:15Z,PROD008,Notebook A5,Stationery,4.95,USD,5
2025-11-28T09:27:58Z,PROD010,USB Hub 4-Port,Accessories,12.74,GBP,2
2025-11-28T09:29:24Z,PROD004,Laptop Stand,Office,29.66,GBP,1
2025-11-28T09:30:10Z,PROD008,Notebook A5,Stationery,4.5,EUR,5
2025-11-28T09:31:20Z,PROD008,Notebook A5,Stationery,3.82,GBP,9
2025-11-28T09:32:45Z,PROD004,Laptop Stand,Office,29.66,GBP,4
2025-11-28T09:33:58Z,PROD002,USB-C Cable,Accessories,10.99,USD,2
2025-11-28T09:34:43Z,PROD007,Desk Lamp,Office,3298.0,JPY,5
2025-11-28T09:35:50Z,PROD005,Webcam HD,Electronics,9884.0,JPY,1
2025-11-28T09:36:28Z,PROD001,Wireless Mouse,Electronics,21.24,GBP,6
2025-11-28T09:37:28Z,PROD006,Gaming Headset,Electronics,13035.0,JPY,10
2025-11-28T09:38:40Z,PROD001,Wireless Mouse,Electronics,4123.0,JPY,1
2025-11-28T09:40:03Z,PROD001,Wireless Mouse,Electronics,27.49,USD,6
2025-11-28T09:40:15Z,PROD009,Ballpoint Pen Set,Stationery,1153.0,JPY,2
2025-11-28T09:40:51Z,PROD003,Mechanical Keyboard,Electronics,76.08,GBP,3
2025-11-28T09:41:56Z,PROD008,Notebook A5,Stationery,742.0,JPY,9
2025-11-28T09:42:36Z,PROD003,Mechanical Keyboard,Electronics,98.45,USD,10
2025-11-28T09:43:44Z,PROD003,Mechanical Keyboard,Electronics,76.08,GBP,5
2025-11-28T09:45:10Z,PROD002,USB-C Cable,Accessories,10.99,USD,2
2025-11-28T09:45:32Z,PROD010,USB Hub 4-Port,Accessories,12.74,GBP,8
2025-11-28T09:46:21Z,PROD001,Wireless Mouse,Electronics,21.24,GBP,4
2025-11-28T09:47:30Z,PROD008,Notebook A5,Stationery,4.95,USD,2
2025-11-28T09:48:06Z,PROD007,Desk Lamp,Office,19.99,EUR,2
2025-11-28T09:49:22Z,PROD004,Laptop Stand,Office,5758.0,JPY,6
2025-11-28T09:49:33Z,PROD003,Mechanical Keyboard,Electronics,14768.0,JPY,7
2025-11-28T09:50:10Z,PROD010,USB Hub 4-Port,Accessories,16.49,USD,10
2025-11-28T09:51:37Z,PROD006,Gaming Headset,Electronics,79.0,EUR,5
2025-11-28T09:52:22Z,PROD006,Gaming Headset,Electronics,13035.0,JPY,3
2025-11-28T09:53:02Z,PROD001,Wireless Mouse,Electronics,4123.0,JPY,5
2025-11-28T09:53:31Z,PROD001,Wireless Mouse,Electronics,21.24,GBP,10
2025-11-28T09:53:51Z,PROD009,Ballpoint Pen Set,Stationery,7.69,USD,3
2025-11-28T09:54:25Z,PROD008,Notebook A5,Stationery,3.82,GBP,5
2025-11-28T09:55:32Z,PROD002,USB-C Cable,Accessories,8.49,GBP,3
2025-11-28T09:55:49Z,PROD008,Notebook A5,Stationery,742.0,JPY,1
2025-11-28T09:56:40Z,PROD002,USB-C Cable,Accessories,1648.0,JPY,5
2025-11-28T09:57:26Z,PROD003,Mechanical Keyboard,Electronics,89.5,EUR,3
2025-11-28T09:58:51Z,PROD002,USB-C Cable,Accessories,9.99,EUR,4
2025-11-28T10:00:08Z,PROD007,Desk Lamp,Office,16.99,GBP,3
2025-11-28T10:01:29Z,PROD009,Ballpoint Pen Set,Stationery,5.94,GBP,9
2025-11-28T10:02:26Z,PROD008,Notebook A5,Stationery,4.95,USD,9
2025-11-28T10:03:22Z,PROD005,Webcam HD,Electronics,9884.0,JPY,4
2025-11-28T10:04:28Z,PROD002,USB-C Cable,Accessories,8.49,GBP,2
2025-11-28T10:04:52Z,PROD002,USB-C Cable,Accessories,8.49,GBP,10
2025-11-28T10:05:33Z,PROD006,Gaming Headset,Electronics,67.15,GBP,6
2025-11-28T10:07:03Z,PROD008,Notebook A5,Stationery,4.95,USD,4
2025-11-28T10:07:25Z,PROD001,Wireless Mouse,Electronics,27.49,USD,1
2025-11-28T10:08:30Z,PROD007,Desk Lamp,Office,3298.0,JPY,10
2025-11-28T10:08:42Z,PROD001,Wireless Mouse,Electronics,4123.0,JPY,1
2025-11-28T10:09:57Z,PROD003,Mechanical Keyboard,Electronics,14768.0,JPY,8
2025-11-28T10:11:12Z,PROD001,Wireless Mouse,Electronics,24.99,EUR,4
2025-11-28T10:12:41Z,PROD003,Mechanical Keyboard,Electronics,76.08,GBP,6
2025-11-28T10:13:27Z,PROD010,USB Hub 4-Port,Accessories,14.99,EUR,3
2025-11-28T10:14:23Z,PROD006,Gaming Headset,Electronics,13035.0,JPY,1
2025-11-28T10:14:35Z,PROD009,Ballpoint Pen Set,Stationery,6.99,EUR,3
2025-11-28T10:15:17Z,PROD001,Wireless Mouse,Electronics,27.49,USD,8
2025-11-28T10:16:38Z,PROD002,USB-C Cable,Accessories,1648.0,JPY,2
2025-11-28T10:17:24Z,PROD005,Webcam HD,Electronics,9884.0,JPY,8
2025-11-28T10:17:40Z,PROD004,Laptop Stand,Office,5758.0,JPY,1
2025-11-28T10:18:44Z,PROD010,USB Hub 4-Port,Accessories,2473.0,JPY,8
2025-11-28T10:19:29Z,PROD003,Mechanical Keyboard,Electronics,98.45,USD,9
2025-11-28T10:20:24Z,PROD010,USB Hub 4-Port,Accessories,2473.0,JPY,3
2025-11-28T10:20:39Z,PROD007,Desk Lamp,Office,3298.0,JPY,3
2025-11-28T10:22:05Z,PROD006,Gaming Headset,Electronics,67.15,GBP,10
2025-11-28T10:22:28Z,PROD005,Webcam HD,Electronics,65.89,USD,10
2025-11-28T10:22:54Z,PROD002,USB-C Cable,Accessories,8.49,GBP,6
2025-11-28T10:24:05Z,PROD003,Mechanical Keyboard,Electronics,98.45,USD,6
2025-11-28T10:24:58Z,PROD010,USB Hub 4-Port,Accessories,16.49,USD,6
2025-11-28T10:25:15Z,PROD003,Mechanical Keyboard,Electronics,89.5,EUR,5
2025-11-28T10:26:13Z,PROD007,Desk Lamp,Office,3298.0,JPY,1
2025-11-28T10:27:06Z,PROD003,Mechanical Keyboard,Electronics,14768.0,JPY,6
2025-11-28T10:27:32Z,PROD004,Laptop Stand,Office,5758.0,JPY,6
2025-11-28T10:28:28Z,PROD001,Wireless Mouse,Electronics,21.24,GBP,6
2025-11-28T10:29:01Z,PROD009,Ballpoint Pen Set,Stationery,5.94,GBP,2
2025-11-28T10:29:20Z,PROD008,Notebook A5,Stationery,4.5,EUR,10
2025-11-28T10:30:07Z,PROD004,Laptop Stand,Office,34.9,EUR,2
2025-11-28T10:30:45Z,PROD008,Notebook A5,Stationery,3.82,GBP,6
2025-11-28T10:31:44Z,PROD002,USB-C Cable,Accessories,1648.0,JPY,1
2025-11-28T10:32:16Z,PROD008,Notebook A5,Stationery,4.95,USD,6
2025-11-28T10:32:38Z,PROD002,USB-C Cable,Accessories,10.99,USD,5
2025-11-28T10:34:08Z,PROD001,Wireless Mouse,Electronics,27.49,USD,7
2025-11-28T10:35:07Z,PROD004,Laptop Stand,Office,29.66,GBP,6
2025-11-28T10:35:18Z,PROD004,Laptop Stand,Office,5758.0,JPY,6
2025-11-28T10:36:44Z,PROD010,USB Hub 4-Port,Accessories,16.49,USD,4
2025-11-28T10:37:07Z,PROD007,Desk Lamp,Office,3298.0,JPY,10
2025-11-28T10:38:26Z,PROD004,Laptop Stand,Office,5758.0,JPY,2
